valid_points	duration	head_id	source	srt	heuristic_saccade_validity	invalid_points	trial_configuration_id	stim_location	tracker_successfully_calibrated	trial_number	mse
1806	39978	0187	cg12_8_childcogn_8mNoCalib_SRT4.gazedata	250033	True	0	SRT4	3	False	1	0.0017279087992600637
1704	43333	0187	cg12_8_childcogn_8mNoCalib_SRT4.gazedata	253296	True	102	SRT4	4	False	2	0.0004954729286189863
1755	60023	0187	cg12_8_childcogn_8mNoCalib_SRT4.gazedata	306595	True	51	SRT4	6	False	3	0.000699812112994883
1776	59930	0187	cg12_8_childcogn_8mNoCalib_SRT4.gazedata	280044	True	30	SRT4	3	False	4	0.0011647044610745521
1647	46695	0187	cg12_8_childcogn_8mNoCalib_SRT4.gazedata	443300	True	159	SRT4	6	False	5	0.0012008892706131663
1794	53299	0187	cg12_8_childcogn_8mNoCalib_SRT4.gazedata	239971	True	12	SRT4	3	False	6	0.0033287692159696416
1749	93298	0187	cg12_8_childcogn_8mNoCalib_SRT4.gazedata	316659	False	57	SRT4	5	False	7	0.004071174237156099
1755	39975	0187	cg12_8_childcogn_8mNoCalib_SRT4.gazedata	230004	True	51	SRT4	4	False	8	0.0011340230832504175
1788	60015	0187	cg12_8_childcogn_8mNoCalib_SRT4.gazedata	499971	True	18	SRT4	5	False	9	0.00044104947661977365
1794	56663	0187	cg12_8_childcogn_8mNoCalib_SRT4.gazedata	566611	True	12	SRT4	5	False	10	0.00025754723015996466
1806	43335	0187	cg12_8_childcogn_8mNoCalib_SRT4.gazedata	423280	True	0	SRT4	6	False	11	0.0021260549139504384
1803	46680	0187	cg12_8_childcogn_8mNoCalib_SRT5.gazedata	309962	True	3	SRT5	4	False	0	0.0016957252508881574
1734	96654	0187	cg12_8_childcogn_8mNoCalib_SRT5.gazedata	226640	False	72	SRT5	3	False	1	0.0038091869128297146
1653	9968	0187	cg12_8_childcogn_8mNoCalib_SRT5.gazedata	979928	False	153	SRT5	6	False	2	0.0010362488573815024
1554	193284	0187	cg12_8_childcogn_8mNoCalib_SRT5.gazedata	566609	False	252	SRT5	3	False	3	0.00033793999522151527
954	69991	0187	cg12_8_childcogn_8mNoCalib_SRT5.gazedata	496621	True	852	SRT5	5	False	4	0.0023599608642631306
1806	33259	0187	cg12_8_childcogn_8mNoCalib_SRT5.gazedata	243326	True	0	SRT5	4	False	5	0.0003536575057936306
1071	473264	0187	cg12_8_childcogn_8mNoCalib_SRT5.gazedata	526590	False	735	SRT5	6	False	6	0.0011496259430979875
1692	39989	0187	cg12_8_childcogn_8mNoCalib_SRT5.gazedata	369977	True	114	SRT5	4	False	7	0.002655830120514146
1461	6608	0187	cg12_8_childcogn_8mNoCalib_SRT5.gazedata	829953	False	345	SRT5	6	False	8	0.0024074275107372855
1722	56678	0187	cg12_8_childcogn_8mNoCalib_SRT5.gazedata	346649	True	84	SRT5	5	False	9	0.0015564975972951062
1764	49949	0187	cg12_8_childcogn_8mNoCalib_SRT5.gazedata	356643	True	42	SRT5	3	False	10	0.0008922841148086138
1722	56647	0187	cg12_8_childcogn_8mNoCalib_SRT5.gazedata	516589	True	84	SRT5	5	False	11	0.0004440961511156218
1803	39983	0140	cg13_8_childcogn_8mNoCalib_SRT1.gazedata	403331	True	3	SRT1	4	False	0	0.0012935432340080476
1806	46697	0140	cg13_8_childcogn_8mNoCalib_SRT1.gazedata	419920	True	0	SRT1	3	False	1	0.0015044039943199483
1806	43347	0140	cg13_8_childcogn_8mNoCalib_SRT1.gazedata	343316	True	0	SRT1	3	False	2	0.0008380486172335224
1806	36612	0140	cg13_8_childcogn_8mNoCalib_SRT1.gazedata	246684	True	0	SRT1	3	False	3	0.0013279106507212656
1800	43337	0140	cg13_8_childcogn_8mNoCalib_SRT1.gazedata	263258	True	6	SRT1	4	False	4	0.0015250480864852356
1791	43336	0140	cg13_8_childcogn_8mNoCalib_SRT1.gazedata	449933	True	15	SRT1	6	False	5	0.0005119272763243883
1806	406600	0140	cg13_8_childcogn_8mNoCalib_SRT1.gazedata	179945	False	0	SRT1	5	False	6	0.002656499513817058
1794	33367	0140	cg13_8_childcogn_8mNoCalib_SRT1.gazedata	306598	True	12	SRT1	6	False	7	0.0010598223525414652
1806	46696	0140	cg13_8_childcogn_8mNoCalib_SRT1.gazedata	369951	True	0	SRT1	5	False	8	0.000750344700305879
1767	43333	0140	cg13_8_childcogn_8mNoCalib_SRT1.gazedata	319933	True	39	SRT1	4	False	9	0.0005053738148792156
1764	33365	0140	cg13_8_childcogn_8mNoCalib_SRT1.gazedata	313302	True	42	SRT1	6	False	10	0.0009380972147999556
1803	33277	0140	cg13_8_childcogn_8mNoCalib_SRT1.gazedata	296641	True	3	SRT1	5	False	11	0.0018777829808326028
1791	40080	0140	cg13_8_childcogn_8mNoCalib_SRT2.gazedata	306592	True	15	SRT2	4	False	0	0.0029646336352337796
1806	36725	0140	cg13_8_childcogn_8mNoCalib_SRT2.gazedata	256644	True	0	SRT2	3	False	1	0.0017536544667071188
1806	53305	0140	cg13_8_childcogn_8mNoCalib_SRT2.gazedata	230004	True	0	SRT2	5	False	2	0.002000230857421059
1806	33375	0140	cg13_8_childcogn_8mNoCalib_SRT2.gazedata	260008	True	0	SRT2	4	False	3	0.0004903990315081451
1806	93276	0140	cg13_8_childcogn_8mNoCalib_SRT2.gazedata	273317	False	0	SRT2	5	False	4	0.0017457751010207484
1803	43343	0140	cg13_8_childcogn_8mNoCalib_SRT2.gazedata	306597	True	3	SRT2	3	False	5	0.0015389073614640915
1788	36722	0140	cg13_8_childcogn_8mNoCalib_SRT2.gazedata	299885	True	18	SRT2	6	False	6	0.0006661198638714844
1794	456554	0140	cg13_8_childcogn_8mNoCalib_SRT2.gazedata	23380	False	12	SRT2	6	False	7	0.01529502084505955
1794	43352	0140	cg13_8_childcogn_8mNoCalib_SRT2.gazedata	353277	True	12	SRT2	3	False	8	0.0019965962165248885
1803	30013	0140	cg13_8_childcogn_8mNoCalib_SRT2.gazedata	269980	True	3	SRT2	6	False	9	0.0023616325565769744
1782	36709	0140	cg13_8_childcogn_8mNoCalib_SRT2.gazedata	306613	True	24	SRT2	5	False	10	0.000524012361264526
1803	46600	0140	cg13_8_childcogn_8mNoCalib_SRT2.gazedata	293277	True	3	SRT2	4	False	11	0.001047953723902774
1806	39994	0140	cg13_8_childcogn_8mNoCalib_SRT3.gazedata	319929	True	0	SRT3	3	False	0	0.00026937182971009823
1800	336615	0140	cg13_8_childcogn_8mNoCalib_SRT3.gazedata	176584	False	6	SRT3	5	False	1	0.003216303666515772
1806	33371	0140	cg13_8_childcogn_8mNoCalib_SRT3.gazedata	293271	True	0	SRT3	6	False	2	0.0002636317393277483
1806	46692	0140	cg13_8_childcogn_8mNoCalib_SRT3.gazedata	313308	True	0	SRT3	3	False	3	0.0003525215189643974
1800	33367	0140	cg13_8_childcogn_8mNoCalib_SRT3.gazedata	229978	True	6	SRT3	4	False	4	0.001346940310911706
1800	53422	0140	cg13_8_childcogn_8mNoCalib_SRT3.gazedata	269862	True	6	SRT3	6	False	5	0.002309400934815389
